tmin	tier	text	tmax
0,013	Transcription	los	0,279
0,282	Transcription	trenes	0,779
0,78	Transcription	estuvieron	1,45
1,458	Transcription	llegando	1,854
1,854	Transcription	a	1,928
1,854	position	kw_2	1,931
1,931	Transcription	la	2,029
1,931	position	kw_1	2,032
2,032	Transcription	frontera	2,661
2,032	position	kw	2,661
2,661	Transcription	con	2,938
2,661	position	kw+1	2,938
2,938	position	ending	3,679
2,938	Transcription	normalidad	3,679
