tmin	tier	text	tmax
0	Transcription	se	0,262
0,262	Transcription	gusta	0,744
0,744	position	kw_2	0,978
0,744	Transcription	con	0,978
0,978	position	kw_1	1,142
0,978	Transcription	el	1,142
1,142	Transcription	martes	1,662
1,142	position	kw	1,662
1,662	Transcription	de	1,824
1,662	position	kw+1	1,824
1,824	Transcription	carnaval	2,584
1,824	position	ending	2,584
