tmin	tier	text	tmax
0,002	Transcription	he	0,106
0,107	Transcription	visitado	0,641
0,649	Transcription	a	0,692
0,701	Transcription	mis	0,922
0,701	position	kw_2	0,922
0,936	position	kw_1	1,532
0,936	Transcription	abuelos	1,532
1,534	position	kw	1,752
1,534	Transcription	hoy	1,752
1,752	Transcription	en	1,903
1,752	position	kw+1	1,903
1,907	Transcription	su	2,087
2,087	position	ending	2,607
2,087	Transcription	pueblo	2,607
