tmin	tier	text	tmax
0	Transcription	quiero	0,244
0,244	Transcription	viajar	0,721
0,721	position	kw_2	0,818
0,721	Transcription	a	0,818
0,818	position	kw_1	1,016
0,818	Transcription	una	1,016
1,016	Transcription	cuchara	1,51
1,016	position	kw	1,51
1,51	Transcription	este	1,838
1,51	position	kw+1	1,838
1,838	Transcription	verano	2,329
1,838	position	ending	2,329
