tmin	tier	text	tmax
0	Transcription	Me	0,177
0,177	Transcription	fui	0,444
0,444	position	kw_2	0,561
0,444	Transcription	de	0,561
0,561	position	kw_1	1,035
0,561	Transcription	aquella	1,035
1,035	Transcription	Girona	1,615
1,035	position	kw	1,615
1,615	Transcription	este	1,932
1,615	position	kw+1	1,932
1,932	Transcription	verano	2,438
1,932	position	ending	2,438
