tmin	tier	text	tmax
0	Transcription	Marta	0,475
0,475	Transcription	caminaba	1,174
1,174	position	kw_2	1,256
1,174	Transcription	en	1,256
1,256	position	kw_1	1,385
1,256	Transcription	un	1,385
1,385	position	kw	1,82
1,385	Transcription	plato	1,82
1,82	Transcription	por	2,045
1,82	position	kw+1	2,045
2,045	Transcription	las	2,24
2,24	position	ending	2,853
2,24	Transcription	tardes	2,853
