tmin	tier	text	tmax
0	Transcription	Me	0,155
0,155	Transcription	duele	0,539
0,539	position	kw_2	0,958
0,539	Transcription	mucho	0,958
0,958	position	kw_1	1,288
0,958	Transcription	esta	1,288
1,288	Transcription	balsosa	1,901
1,288	position	kw	1,901
1,901	Transcription	tan	2,253
1,901	position	kw+1	2,253
2,253	Transcription	dura	2,686
2,253	position	ending	2,686
