tmin	tier	text	tmax
0	Transcription	Carla	0,413
0,413	Transcription	se	0,613
0,613	position	kw_2	1,141
0,613	Transcription	acabado	1,141
1,141	position	kw_1	1,259
1,141	Transcription	de	1,259
1,259	Transcription	leer	1,599
1,259	position	kw	1,599
1,599	Transcription	el	1,781
1,599	position	kw+1	1,781
1,781	Transcription	libro	2,23
1,781	position	ending	2,23
