tmin	tier	text	tmax
0	Transcription	Marta	0,487
0,487	Transcription	caminaba	1,122
1,122	position	kw_2	1,21
1,122	Transcription	en	1,21
1,21	position	kw_1	1,394
1,21	Transcription	un	1,394
1,394	position	kw	1,804
1,394	Transcription	prados	1,804
1,804	Transcription	por	2,011
1,804	position	kw+1	2,011
2,011	Transcription	las	2,191
2,191	position	ending	2,815
2,191	Transcription	tardes	2,815
