tmin	tier	text	tmax
0	Transcription	Me	0,148
0,148	Transcription	he	0,275
0,275	Transcription	enterado	0,874
0,874	position	kw_2	1,36
0,874	Transcription	durante	1,36
1,36	position	kw_1	1,512
1,36	Transcription	un	1,512
1,512	Transcription	minuto	1,981
1,512	position	kw	1,981
1,981	Transcription	de	2,104
1,981	position	kw+1	2,104
2,104	position	ending	2,59
2,104	Transcription	clase	2,59
