tmin	tier	text	tmax
0	Transcription	Durante	0,467
0,467	Transcription	la	0,615
0,615	Transcription	clase	1,07
1,07	Transcription	miro	1,354
1,07	position	kw_2	1,354
1,354	position	kw_1	1,506
1,354	Transcription	un	1,506
1,506	position	kw	1,981
1,506	Transcription	cielo	1,981
1,981	Transcription	por	2,212
1,981	position	kw+1	2,212
2,212	Transcription	la	2,32
2,32	position	ending	2,935
2,32	Transcription	ventana	2,935
