tmin	tier	text	tmax
0	Transcription	los	0,259
0,259	Transcription	trenes	0,75
0,75	Transcription	estuvieron	1,391
1,391	Transcription	lleagando	1,835
1,391	position	kw_2	1,835
1,835	Transcription	a	1,902
1,902	position	kw_1	2,047
1,902	Transcription	la	2,047
2,047	Transcription	fronteras	2,755
2,047	position	kw	2,755
2,755	Transcription	con	2,967
2,755	position	kw+1	2,967
2,967	position	ending	3,799
2,967	Transcription	normalidad	3,799
