tmin	tier	text	tmax
0	Transcription	Luis	0,309
0,309	Transcription	se	0,505
0,505	position	kw_2	0,953
0,505	Transcription	rasca	0,953
0,953	position	kw_1	1,088
0,953	Transcription	la	1,088
1,088	Transcription	cabeza	1,529
1,088	position	kw	1,529
1,529	Transcription	cuando	1,885
1,529	position	kw+1	1,885
1,885	Transcription	piensa	2,492
1,885	position	ending	2,492
