tmin	tier	text	tmax
0	Transcription	Se	0,329
0,329	position	kw_2	0,801
0,329	Transcription	gusta	0,801
0,801	position	kw_1	0,998
0,801	Transcription	el	0,998
0,998	position	kw	1,731
0,998	Transcription	chocolate	1,731
1,731	Transcription	de	1,859
1,731	position	kw+1	1,859
1,859	Transcription	Carnaval	2,628
1,859	position	ending	2,628
