tmin	tier	text	tmax
0	Transcription	El	0,17
0,17	Transcription	agua	0,468
0,468	position	kw_2	1,054
0,468	Transcription	permite	1,054
1,054	position	kw_1	1,383
1,054	Transcription	una	1,383
1,383	position	kw	1,73
1,383	Transcription	vida	1,73
1,73	Transcription	de	1,865
1,73	position	kw+1	1,865
1,865	Transcription	la	2,017
2,017	position	ending	2,548
2,017	Transcription	tierra	2,548
