tmin	tier	text	tmax
0	Transcription	Llega	0,336
0,336	Transcription	el	0,449
0,449	Transcription	momento	0,985
0,985	position	kw_2	1,087
0,985	Transcription	de	1,087
1,087	position	kw_1	1,223
1,087	Transcription	la	1,223
1,223	Transcription	verdad	1,724
1,223	position	kw	1,724
1,724	Transcription	para	1,985
1,724	position	kw+1	1,985
1,985	position	ending	2,773
1,985	Transcription	nosotros	2,773
