tmin	tier	text	tmax
0	Transcription	los	0,232
0,232	Transcription	alumnos	0,734
0,734	Transcription	volvieron	1,382
1,382	Transcription	desde	1,675
1,382	position	kw_2	1,675
1,675	position	kw_1	1,752
1,675	Transcription	el	1,752
1,752	position	kw	2,088
1,752	Transcription	campo	2,088
2,088	Transcription	a2	2,138
2,088	position	kw+1	2,138
2,138	Transcription	la	2,277
2,277	position	ending	2,837
2,277	Transcription	ciudad	2,837
