tmin	tier	text	tmax
0	Transcription	Luis	0,44
0,44	Transcription	se	0,674
0,674	position	kw_2	1,178
0,674	Transcription	rasca	1,178
1,178	position	kw_1	1,673
1,178	Transcription	cualquier	1,673
1,673	Transcription	cabeza	2,185
1,673	position	kw	2,185
2,185	Transcription	cuando	2,53
2,185	position	kw+1	2,53
2,53	Transcription	piensa	3,136
2,53	position	ending	3,136
