tmin	tier	text	tmax
0	Transcription	Me	0,184
0,184	Transcription	duele	0,55
0,55	position	kw_2	0,959
0,55	Transcription	mucho	0,959
0,959	position	kw_1	1,294
0,959	Transcription	esta	1,294
1,294	Transcription	noticia	1,848
1,294	position	kw	1,848
1,848	Transcription	tan	2,142
1,848	position	kw+1	2,142
2,142	Transcription	dura	2,544
2,142	position	ending	2,544
