tmin	tier	text	tmax
0	Transcription	en	0,197
0,197	position	kw_2	0,584
0,197	Transcription	verano	0,584
0,584	position	kw_1	0,785
0,584	Transcription	el	0,785
0,785	position	kw	1,408
0,785	Transcription	tiempos	1,408
1,408	Transcription	es	1,641
1,408	position	kw+1	1,641
1,641	Transcription	bueno	2,023
2,023	Transcription	para	2,276
2,276	position	ending	2,899
2,276	Transcription	navegar	2,899
