tmin	tier	text	tmax
0	Transcription	Ayer	0,424
0,424	position	kw_2	0,686
0,424	Transcription	los	0,686
0,686	Transcription	coches	1,168
0,686	position	kw_1	1,168
1,168	position	kw	2,015
1,168	Transcription	desayunaron	2,015
2,015	Transcription	en	2,148
2,015	position	kw+1	2,148
2,148	Transcription	la	2,264
2,264	Transcription	autopista	3,054
2,264	position	ending	3,054
