tmin	tier	text	tmax
0	Transcription	Hice	0,285
0,285	Transcription	pasteles	1,004
1,004	position	kw_2	1,088
1,004	Transcription	en	1,088
1,088	position	kw_1	1,32
1,088	Transcription	una	1,32
1,32	Transcription	bandejas	1,947
1,32	position	kw	1,947
1,947	Transcription	de	2,088
1,947	position	kw+1	2,088
2,088	Transcription	horno	2,588
2,088	position	ending	2,588
