tmin	tier	text	tmax
0	Transcription	Me	0,194
0,194	Transcription	fui	0,394
0,394	position	kw_2	0,481
0,394	Transcription	de	0,481
0,481	position	kw_1	0,866
0,481	Transcription	aquella	0,866
0,866	Transcription	escuelas	1,531
0,866	position	kw	1,531
1,531	Transcription	este	1,831
1,531	position	kw+1	1,831
1,831	Transcription	verano	2,297
1,831	position	ending	2,297
